order_id,order_time,location,cuisine,total_items,order_value
41,2026-04-19 18:59:00,Mumbai,Fast Food,1,791
42,2026-01-26 10:00:00,Mumbai,Biryani,4,402
43,2026-01-06 10:18:00,Hyderabad,North Indian,6,570
44,2026-03-17 16:45:00,Kolkata,Chinese,2,661
45,2026-01-17 21:47:00,Kolkata,South Indian,6,944
46,2026-03-10 19:12:00,Delhi,Chinese,1,720
47,2026-02-15 17:46:00,Pune,Fast Food,4,839
48,2026-01-17 15:39:00,Kolkata,Indian,4,713
49,2026-02-19 15:53:00,Kolkata,Biryani,3,389
50,2026-05-31 18:25:00,Pune,North Indian,6,1317
51,2026-06-26 20:36:00,Bangalore,Fast Food,6,834
52,2026-05-17 12:15:00,Delhi,Fast Food,6,1119
53,2026-01-10 18:14:00,Pune,Italian,6,677
54,2026-01-22 11:37:00,Bangalore,Chinese,1,512
55,2026-03-06 22:23:00,Mumbai,Chinese,5,1353
56,2026-04-19 11:09:00,Bangalore,North Indian,5,323
57,2026-01-03 07:05:00,Bangalore,Biryani,3,1230
58,2026-01-18 10:42:00,Mumbai,North Indian,5,1065
59,2026-02-25 22:18:00,Mumbai,Biryani,6,1106
60,2026-01-03 12:43:00,Mumbai,South Indian,6,1094
61,2026-07-14 17:02:00,Bangalore,Indian,4,684
62,2026-06-04 08:10:00,Pune,Chinese,6,1472
63,2026-03-15 18:36:00,Bangalore,Chinese,6,269
64,2026-04-06 10:20:00,Pune,Biryani,4,467
65,2026-02-21 08:34:00,Kolkata,Chinese,5,403
66,2026-01-19 10:42:00,Bangalore,South Indian,5,1433
67,2026-01-30 18:56:00,Bangalore,Biryani,4,652
68,2026-01-14 09:10:00,Kolkata,Chinese,2,349
69,2026-03-10 00:43:00,Kolkata,Fast Food,2,197
70,2026-02-27 20:57:00,Pune,Desserts,4,885
71,2026-06-17 20:03:00,Hyderabad,Biryani,2,734
72,2026-03-21 10:42:00,Kolkata,Fast Food,5,1425
73,2026-06-22 18:39:00,Delhi,Biryani,5,742
74,2026-04-03 12:20:00,Hyderabad,Chinese,1,1105
75,2026-07-14 19:48:00,Kolkata,North Indian,5,530
76,2026-01-11 21:07:00,Hyderabad,South Indian,1,1165
77,2026-05-03 12:27:00,Mumbai,Indian,4,1224
78,2026-01-20 18:00:00,Mumbai,Biryani,4,839
79,2026-03-27 20:03:00,Pune,Indian,3,1269
80,2026-05-28 16:20:00,Pune,Biryani,6,282
81,2026-06-22 14:43:00,Mumbai,Biryani,1,939
82,2026-07-19 19:25:00,Kolkata,Biryani,2,1052
83,2026-01-05 13:20:00,Mumbai,Indian,2,654
84,2026-02-02 12:31:00,Kolkata,Biryani,2,208
85,2026-03-22 12:25:00,Mumbai,Biryani,3,1352
86,2026-06-29 18:02:00,Delhi,Italian,2,1251
87,2026-07-07 21:30:00,Bangalore,Chinese,4,945
88,2026-05-01 14:00:00,Bangalore,South Indian,1,1024
89,2026-05-04 20:18:00,Hyderabad,Fast Food,6,1283
90,2026-06-08 16:07:00,Kolkata,Italian,3,300
91,2026-03-22 18:37:00,Pune,Indian,1,477
92,2026-01-30 15:59:00,Mumbai,Fast Food,6,1020
93,2026-06-11 12:19:00,Kolkata,Fast Food,5,546
94,2026-02-23 22:27:00,Hyderabad,North Indian,3,174
95,2026-07-13 06:16:00,Kolkata,Fast Food,1,705
96,2026-03-20 19:32:00,Pune,Indian,3,1347
97,2026-06-17 13:46:00,Hyderabad,Chinese,1,772
98,2026-06-05 00:01:00,Bangalore,North Indian,1,784
99,2026-05-23 18:23:00,Kolkata,Indian,2,1178
100,2026-01-27 14:55:00,Hyderabad,Biryani,2,968
101,2026-07-11 10:29:00,Kolkata,Biryani,3,1107
102,2026-02-23 12:40:00,Delhi,Chinese,2,1423
103,2026-07-03 22:13:00,Pune,North Indian,2,1009
104,2026-05-18 20:52:00,Mumbai,Desserts,1,963
105,2026-05-31 11:04:00,Mumbai,Chinese,1,320
106,2026-07-13 03:47:00,Mumbai,Fast Food,3,963
107,2026-02-11 18:09:00,Delhi,Chinese,6,1226
108,2026-04-18 18:28:00,Mumbai,South Indian,2,1471
109,2026-06-15 13:19:00,Hyderabad,Fast Food,4,1194
110,2026-01-04 11:16:00,Hyderabad,Biryani,3,586
111,2026-07-05 12:30:00,Kolkata,North Indian,5,813
112,2026-06-03 11:46:00,Kolkata,Desserts,6,1422
113,2026-03-29 14:02:00,Pune,Desserts,3,929
114,2026-04-22 22:19:00,Pune,Biryani,5,170
115,2026-04-14 12:42:00,Pune,Biryani,5,427
116,2026-03-10 16:45:00,Delhi,Chinese,4,1110
117,2026-07-18 17:56:00,Hyderabad,Fast Food,1,562
118,2026-02-20 18:19:00,Delhi,Desserts,5,1343
119,2026-01-13 19:40:00,Bangalore,Biryani,6,198
120,2026-01-05 19:34:00,Mumbai,Desserts,2,1121
121,2026-05-23 17:55:00,Hyderabad,Biryani,4,467
122,2026-03-29 16:31:00,Bangalore,Desserts,3,768
123,2026-02-05 09:12:00,Pune,Biryani,3,670
124,2026-07-16 12:11:00,Delhi,Indian,4,1339
125,2026-02-13 20:21:00,Delhi,Chinese,4,1328
126,2026-01-31 06:33:00,Pune,Chinese,5,485
127,2026-04-24 20:03:00,Delhi,Biryani,1,1337
128,2026-04-22 19:05:00,Hyderabad,Biryani,5,1119
129,2026-07-02 11:31:00,Hyderabad,Fast Food,3,1063
130,2026-06-06 07:49:00,Mumbai,Biryani,4,645
131,2026-05-21 20:49:00,Pune,Indian,1,1397
132,2026-01-30 17:03:00,Mumbai,Fast Food,6,242
133,2026-04-12 15:13:00,Delhi,North Indian,5,431
134,2026-02-24 10:19:00,Pune,North Indian,2,1295
135,2026-07-16 12:48:00,Bangalore,Biryani,4,1142
136,2026-01-03 21:42:00,Pune,Indian,4,784
137,2026-03-20 20:31:00,Kolkata,Chinese,4,1413
138,2026-05-15 14:18:00,Kolkata,North Indian,2,771
139,2026-07-08 11:44:00,Hyderabad,Fast Food,6,1051
140,2026-02-01 23:49:00,Bangalore,North Indian,6,357
141,2026-03-13 20:32:00,Delhi,Biryani,5,201
142,2026-03-03 21:56:00,Bangalore,Chinese,2,1010
143,2026-01-01 13:03:00,Mumbai,Indian,3,1451
144,2026-05-23 23:42:00,Hyderabad,Italian,6,1484
145,2026-01-01 23:13:00,Pune,Indian,2,772
146,2026-04-09 10:04:00,Delhi,North Indian,2,1420
147,2026-06-03 14:20:00,Bangalore,Indian,1,160
148,2026-03-13 16:56:00,Mumbai,North Indian,2,1493
149,2026-01-10 20:22:00,Bangalore,Desserts,5,447
150,2026-05-01 13:39:00,Mumbai,Indian,6,230
151,2026-05-04 12:52:00,Pune,Chinese,2,1479
152,2026-05-23 11:02:00,Delhi,Biryani,1,1378
153,2026-04-15 20:20:00,Mumbai,North Indian,2,344
154,2026-03-25 09:38:00,Hyderabad,South Indian,6,483
155,2026-01-15 15:37:00,Hyderabad,Fast Food,2,553
156,2026-04-08 19:58:00,Delhi,Chinese,5,1189
157,2026-06-08 22:26:00,Kolkata,Indian,5,727
158,2026-07-10 07:56:00,Pune,Indian,4,949
159,2026-07-20 19:06:00,Pune,Indian,1,1035
160,2026-04-01 17:58:00,Bangalore,Biryani,3,383
161,2026-02-03 05:37:00,Hyderabad,Desserts,3,638
162,2026-01-07 13:58:00,Pune,North Indian,2,1070
163,2026-03-29 16:47:00,Hyderabad,Biryani,3,1218
164,2026-02-27 21:15:00,Hyderabad,South Indian,5,472
165,2026-01-30 23:54:00,Mumbai,Chinese,3,982
166,2026-01-11 20:17:00,Kolkata,Fast Food,5,1377
167,2026-05-12 09:38:00,Hyderabad,Chinese,1,512
168,2026-04-28 21:46:00,Delhi,Fast Food,6,868
169,2026-05-23 14:33:00,Hyderabad,Indian,4,1154
170,2026-06-01 22:54:00,Mumbai,North Indian,2,1419
171,2026-02-11 14:26:00,Kolkata,South Indian,3,178
172,2026-06-05 21:58:00,Kolkata,Indian,2,1309
173,2026-01-01 20:21:00,Hyderabad,Biryani,5,242
174,2026-06-12 12:43:00,Bangalore,Indian,4,1163
175,2026-04-24 18:32:00,Hyderabad,South Indian,3,260
176,2026-06-21 15:47:00,Hyderabad,Chinese,3,330
177,2026-06-07 19:33:00,Pune,Chinese,2,604
178,2026-06-27 22:01:00,Bangalore,Fast Food,6,482
179,2026-02-07 19:24:00,Hyderabad,South Indian,3,328
180,2026-06-10 19:34:00,Hyderabad,North Indian,1,408
181,2026-07-06 16:58:00,Hyderabad,Indian,6,509
182,2026-04-14 14:00:00,Pune,Biryani,6,1170
183,2026-05-22 07:58:00,Hyderabad,South Indian,2,565
184,2026-07-16 17:42:00,Pune,Fast Food,2,530
185,2026-01-13 20:34:00,Pune,Biryani,4,211
186,2026-02-28 16:12:00,Delhi,South Indian,5,692
187,2026-05-14 10:49:00,Pune,North Indian,2,330
188,2026-02-18 19:37:00,Pune,Fast Food,2,1056
189,2026-04-24 17:38:00,Hyderabad,Fast Food,2,772
190,2026-03-26 08:33:00,Kolkata,Desserts,1,1217
191,2026-01-22 12:04:00,Kolkata,South Indian,4,456
192,2026-06-12 17:33:00,Kolkata,Biryani,6,1387
193,2026-07-05 08:18:00,Pune,Fast Food,4,341
194,2026-06-14 14:20:00,Pune,South Indian,5,814
195,2026-02-20 19:24:00,Hyderabad,Chinese,4,1154
196,2026-02-15 15:38:00,Pune,North Indian,1,644
197,2026-06-24 10:33:00,Pune,Indian,3,955
198,2026-06-16 09:21:00,Kolkata,Chinese,1,600
199,2026-05-28 20:35:00,Kolkata,Fast Food,3,1224
200,2026-05-15 11:53:00,Mumbai,Indian,3,380
201,2026-06-12 10:39:00,Bangalore,Chinese,2,1071
202,2026-01-01 14:11:00,Pune,Indian,4,637
203,2026-01-28 20:18:00,Pune,Chinese,1,1115
204,2026-01-13 12:00:00,Mumbai,North Indian,4,1349
205,2026-04-11 21:51:00,Kolkata,North Indian,1,201
206,2026-03-04 07:03:00,Pune,Biryani,6,333
207,2026-03-07 14:12:00,Delhi,Biryani,4,255
208,2026-05-02 12:35:00,Bangalore,Fast Food,2,1285
209,2026-06-20 17:32:00,Mumbai,Biryani,5,1149
210,2026-02-20 18:23:00,Kolkata,Indian,4,232
211,2026-01-01 17:58:00,Bangalore,Biryani,2,1035
212,2026-04-03 18:42:00,Kolkata,Biryani,4,814
213,2026-03-13 13:05:00,Kolkata,Fast Food,5,665
214,2026-02-28 20:48:00,Bangalore,Desserts,5,578
215,2026-03-03 23:56:00,Kolkata,Biryani,6,642
216,2026-03-25 18:32:00,Mumbai,Biryani,6,519
217,2026-05-25 13:45:00,Mumbai,Chinese,1,1390
218,2026-05-22 12:13:00,Hyderabad,Fast Food,2,1273
219,2026-07-08 18:49:00,Delhi,Italian,4,1109
220,2026-06-28 08:44:00,Delhi,North Indian,6,680
221,2026-01-13 16:27:00,Pune,Fast Food,4,343
222,2026-06-05 21:43:00,Mumbai,South Indian,2,947
223,2026-05-13 12:30:00,Bangalore,Biryani,3,496
224,2026-05-09 09:02:00,Hyderabad,North Indian,3,189
225,2026-03-05 21:10:00,Hyderabad,Biryani,5,440
226,2026-04-12 17:24:00,Pune,Biryani,1,827
227,2026-06-29 12:38:00,Bangalore,Indian,2,1262
228,2026-03-10 20:56:00,Mumbai,Fast Food,3,749
229,2026-06-20 09:58:00,Mumbai,Fast Food,5,361
230,2026-02-25 20:52:00,Bangalore,Desserts,4,540
231,2026-03-23 22:46:00,Mumbai,Desserts,3,609
232,2026-06-29 19:16:00,Kolkata,Indian,4,280
233,2026-05-06 12:56:00,Pune,Biryani,1,1426
234,2026-01-16 17:44:00,Bangalore,Fast Food,4,674
235,2026-06-06 14:59:00,Kolkata,North Indian,2,1093
236,2026-03-30 20:41:00,Kolkata,Indian,3,1461
237,2026-04-01 15:54:00,Delhi,Indian,4,1288
238,2026-07-04 08:42:00,Bangalore,Biryani,6,412
239,2026-04-10 19:37:00,Hyderabad,Biryani,5,577
240,2026-02-18 07:58:00,Mumbai,Indian,4,1163
241,2026-04-02 15:50:00,Mumbai,Chinese,4,949
242,2026-01-07 19:37:00,Delhi,Chinese,2,1328
243,2026-03-12 23:36:00,Bangalore,Fast Food,3,898
244,2026-04-20 07:57:00,Bangalore,South Indian,4,524
245,2026-02-25 14:52:00,Bangalore,Fast Food,6,1076
246,2026-04-05 15:29:00,Pune,Chinese,6,520
247,2026-04-01 09:24:00,Pune,Biryani,1,551
248,2026-07-09 12:16:00,Kolkata,Chinese,5,276
249,2026-05-11 19:28:00,Bangalore,Indian,4,618
250,2026-06-20 20:54:00,Bangalore,Chinese,6,1469
251,2026-06-23 17:32:00,Pune,Desserts,4,1120
252,2026-06-09 22:49:00,Kolkata,North Indian,3,806
253,2026-07-09 15:38:00,Pune,Indian,1,695
254,2026-01-05 12:58:00,Mumbai,Fast Food,3,882
255,2026-03-31 18:14:00,Bangalore,Indian,1,1150
256,2026-01-24 02:55:00,Kolkata,Chinese,4,1433
257,2026-04-05 19:03:00,Bangalore,South Indian,4,1041
258,2026-02-11 12:08:00,Delhi,South Indian,6,889
259,2026-05-02 13:44:00,Mumbai,Biryani,5,1028
260,2026-02-23 21:19:00,Delhi,Fast Food,4,1399
261,2026-01-20 20:11:00,Pune,Biryani,4,450
262,2026-03-03 13:07:00,Delhi,Biryani,5,1067
263,2026-03-19 15:37:00,Mumbai,Chinese,4,706
264,2026-01-18 11:33:00,Kolkata,South Indian,2,974
265,2026-05-12 15:56:00,Bangalore,North Indian,3,166
266,2026-03-23 11:32:00,Bangalore,South Indian,6,1274
267,2026-02-23 08:24:00,Pune,Desserts,6,756
268,2026-07-19 18:38:00,Delhi,Chinese,4,910
269,2026-05-16 18:14:00,Mumbai,Biryani,6,1395
270,2026-05-31 21:20:00,Hyderabad,Fast Food,6,315
271,2026-06-22 08:32:00,Pune,Biryani,4,813
272,2026-06-23 23:05:00,Hyderabad,Indian,4,1295
273,2026-02-25 11:47:00,Delhi,Biryani,5,1009
274,2026-04-11 06:49:00,Hyderabad,Biryani,2,879
275,2026-06-04 10:19:00,Bangalore,Desserts,1,569
276,2026-05-11 13:11:00,Kolkata,Fast Food,5,405
277,2026-04-21 15:10:00,Pune,Indian,5,711
278,2026-04-06 19:20:00,Delhi,Italian,6,719
279,2026-03-12 22:38:00,Hyderabad,Indian,6,636
280,2026-01-12 09:42:00,Kolkata,South Indian,6,388
281,2026-01-17 11:36:00,Delhi,Indian,6,400
282,2026-07-01 18:06:00,Mumbai,South Indian,2,1265
283,2026-03-13 20:07:00,Bangalore,North Indian,1,345
284,2026-02-18 20:27:00,Hyderabad,North Indian,2,837
285,2026-05-06 18:26:00,Mumbai,Indian,5,589
286,2026-02-13 13:45:00,Pune,Chinese,5,463
287,2026-01-09 18:05:00,Hyderabad,Chinese,3,630
288,2026-02-01 16:11:00,Pune,Indian,1,636
289,2026-04-02 10:51:00,Kolkata,North Indian,5,982
290,2026-01-25 21:41:00,Pune,Fast Food,2,529
291,2026-01-03 09:06:00,Bangalore,North Indian,6,686
292,2026-07-12 21:12:00,Mumbai,North Indian,1,585
293,2026-03-29 20:22:00,Bangalore,Biryani,2,334
294,2026-01-31 11:24:00,Delhi,Desserts,5,1289
295,2026-06-09 05:59:00,Mumbai,Fast Food,1,846
296,2026-02-05 14:38:00,Delhi,South Indian,6,429
297,2026-07-01 21:16:00,Bangalore,Biryani,1,432
298,2026-06-08 10:55:00,Hyderabad,Biryani,4,724
299,2026-04-29 15:22:00,Delhi,Indian,1,1446
300,2026-06-13 18:31:00,Hyderabad,Biryani,5,641
301,2026-04-26 06:56:00,Kolkata,Fast Food,5,924
302,2026-03-26 19:04:00,Delhi,Chinese,1,1357
303,2026-03-14 14:47:00,Pune,Biryani,6,742
304,2026-04-15 18:54:00,Delhi,Chinese,6,268
305,2026-04-19 19:42:00,Bangalore,Fast Food,4,1105
306,2026-06-21 12:28:00,Pune,Biryani,1,640
307,2026-01-19 21:51:00,Bangalore,Fast Food,4,1122
308,2026-05-28 08:38:00,Mumbai,Desserts,4,1070
309,2026-05-27 21:01:00,Pune,Biryani,1,675
310,2026-07-16 07:37:00,Mumbai,Biryani,3,1065
311,2026-06-24 11:55:00,Pune,Biryani,1,790
312,2026-04-20 13:53:00,Delhi,Fast Food,4,885
313,2026-01-16 19:39:00,Pune,South Indian,6,1152
314,2026-01-17 19:47:00,Kolkata,Chinese,1,299
315,2026-05-15 12:06:00,Delhi,Fast Food,1,199
316,2026-02-07 13:22:00,Bangalore,Chinese,2,600
317,2026-02-10 06:06:00,Hyderabad,Biryani,4,1286
318,2026-03-03 17:16:00,Kolkata,Indian,3,1402
319,2026-05-13 20:16:00,Delhi,Chinese,4,523
320,2026-05-16 22:04:00,Pune,Chinese,6,295
321,2026-05-26 20:21:00,Hyderabad,Indian,5,468
322,2026-07-15 19:56:00,Pune,Desserts,1,791
323,2026-04-14 20:41:00,Delhi,Fast Food,4,1257
324,2026-06-11 09:03:00,Pune,Fast Food,6,885
325,2026-04-05 09:58:00,Kolkata,North Indian,4,1337
326,2026-03-20 10:33:00,Delhi,Biryani,1,441
327,2026-01-28 21:55:00,Mumbai,Indian,4,847
328,2026-05-24 10:07:00,Mumbai,North Indian,5,1184
329,2026-05-10 20:39:00,Mumbai,Biryani,4,246
330,2026-02-17 00:29:00,Bangalore,Fast Food,6,814
331,2026-01-24 22:18:00,Pune,Italian,5,1187
332,2026-06-22 13:01:00,Kolkata,North Indian,2,1477
333,2026-05-14 21:28:00,Delhi,Fast Food,2,1136
334,2026-02-27 22:22:00,Hyderabad,Biryani,4,1254
335,2026-06-22 21:51:00,Bangalore,Indian,6,1079
336,2026-01-28 08:58:00,Hyderabad,Chinese,1,839
337,2026-01-24 00:31:00,Pune,Biryani,3,1445
338,2026-01-27 14:15:00,Pune,Fast Food,4,762
339,2026-05-28 20:22:00,Bangalore,North Indian,4,711
340,2026-01-21 11:16:00,Hyderabad,Desserts,2,237
341,2026-04-25 21:18:00,Pune,Desserts,4,447
342,2026-02-25 11:18:00,Delhi,Desserts,5,894
343,2026-07-12 11:09:00,Hyderabad,Indian,3,1252
344,2026-02-25 01:17:00,Hyderabad,Fast Food,2,906
345,2026-06-16 19:55:00,Pune,Indian,4,642
346,2026-03-10 18:58:00,Kolkata,South Indian,4,1336
347,2026-02-13 12:32:00,Mumbai,Fast Food,6,1348
348,2026-01-24 19:00:00,Pune,Indian,3,1349
349,2026-04-08 01:42:00,Kolkata,Fast Food,5,310
350,2026-06-21 21:40:00,Bangalore,Fast Food,4,456
351,2026-04-05 20:43:00,Delhi,Fast Food,5,261
352,2026-05-03 14:04:00,Kolkata,South Indian,2,494
353,2026-04-14 20:43:00,Bangalore,Chinese,4,658
354,2026-02-03 18:45:00,Delhi,Indian,1,155
355,2026-05-03 16:40:00,Delhi,Fast Food,1,490
356,2026-06-11 12:52:00,Pune,Indian,5,236
357,2026-03-01 19:38:00,Delhi,South Indian,6,1131
358,2026-04-26 08:36:00,Bangalore,Fast Food,5,436
359,2026-01-20 18:09:00,Kolkata,Indian,5,613
360,2026-04-29 13:08:00,Hyderabad,North Indian,5,1369
361,2026-05-15 04:11:00,Delhi,North Indian,5,1003
362,2026-04-06 20:24:00,Mumbai,Fast Food,2,779
363,2026-01-04 19:01:00,Delhi,Chinese,4,1296
364,2026-01-17 13:02:00,Hyderabad,Chinese,2,515
365,2026-04-26 12:14:00,Delhi,Fast Food,5,1312
366,2026-04-27 19:43:00,Hyderabad,Biryani,3,1357
367,2026-03-04 13:19:00,Kolkata,Fast Food,2,364
368,2026-05-27 21:33:00,Bangalore,Desserts,6,1071
369,2026-02-19 20:56:00,Kolkata,Fast Food,6,726
370,2026-04-20 21:02:00,Delhi,Indian,2,1051
371,2026-04-19 07:59:00,Kolkata,Biryani,5,701
372,2026-06-05 08:12:00,Kolkata,Biryani,1,978
373,2026-05-31 13:15:00,Hyderabad,Indian,2,833
374,2026-04-27 19:57:00,Hyderabad,North Indian,4,1346
375,2026-01-14 21:41:00,Hyderabad,Fast Food,1,874
376,2026-01-17 17:08:00,Pune,South Indian,1,1394
377,2026-07-02 09:14:00,Mumbai,Desserts,6,1202
378,2026-02-16 12:50:00,Bangalore,Indian,6,343
379,2026-01-06 16:59:00,Hyderabad,Desserts,6,1456
380,2026-02-22 14:45:00,Hyderabad,Indian,1,404
381,2026-04-08 08:29:00,Pune,North Indian,2,424
382,2026-01-29 20:20:00,Delhi,Italian,2,720
383,2026-02-18 18:48:00,Hyderabad,Biryani,4,320
384,2026-05-25 00:31:00,Kolkata,Chinese,3,1308
385,2026-04-25 16:11:00,Bangalore,Chinese,5,1244
386,2026-04-15 22:22:00,Kolkata,Biryani,3,329
387,2026-05-01 21:14:00,Kolkata,Chinese,2,1253
388,2026-02-02 07:36:00,Mumbai,Fast Food,6,709
389,2026-05-14 13:38:00,Bangalore,Fast Food,1,631
390,2026-06-20 15:01:00,Hyderabad,Biryani,2,854
391,2026-04-01 18:31:00,Delhi,Desserts,3,1067
392,2026-03-13 03:02:00,Pune,Indian,6,478
393,2026-07-17 20:28:00,Bangalore,Fast Food,1,850
394,2026-01-12 19:29:00,Hyderabad,Biryani,3,605
395,2026-02-01 06:20:00,Mumbai,Biryani,4,660
396,2026-06-19 19:13:00,Hyderabad,Indian,5,1075
397,2026-01-28 21:09:00,Mumbai,Indian,3,1163
398,2026-03-06 23:29:00,Bangalore,Chinese,5,736
399,2026-04-01 12:21:00,Kolkata,North Indian,6,250
400,2026-01-25 21:45:00,Bangalore,Indian,5,821
401,2026-03-16 20:14:00,Mumbai,Indian,1,765
402,2026-05-11 17:14:00,Pune,Indian,2,438
403,2026-04-04 21:44:00,Hyderabad,Biryani,3,478
404,2026-04-11 16:14:00,Delhi,Chinese,4,1493
405,2026-01-11 17:48:00,Mumbai,Indian,4,1097
406,2026-06-18 12:45:00,Pune,Fast Food,2,985
407,2026-04-15 17:50:00,Hyderabad,South Indian,2,1294
408,2026-01-10 16:06:00,Kolkata,Biryani,5,838
409,2026-01-14 10:02:00,Hyderabad,Chinese,3,547
410,2026-04-22 18:28:00,Mumbai,Biryani,6,644
411,2026-06-11 11:44:00,Kolkata,Biryani,5,275
412,2026-07-12 10:38:00,Kolkata,South Indian,4,947
413,2026-01-24 18:24:00,Bangalore,Indian,3,1438
414,2026-06-06 23:40:00,Mumbai,Chinese,3,652
415,2026-02-10 19:03:00,Hyderabad,South Indian,3,406
416,2026-04-26 20:50:00,Pune,South Indian,4,208
417,2026-07-15 19:10:00,Mumbai,South Indian,4,1111
418,2026-06-07 12:10:00,Delhi,Chinese,6,1487
419,2026-01-26 12:19:00,Bangalore,Biryani,2,491
420,2026-02-11 17:13:00,Mumbai,Biryani,2,290
421,2026-01-07 10:41:00,Pune,Fast Food,6,560
422,2026-04-04 09:42:00,Mumbai,Desserts,6,1433
423,2026-01-05 01:24:00,Delhi,Indian,5,196
424,2026-01-02 21:37:00,Mumbai,Indian,4,865
425,2026-04-09 10:20:00,Kolkata,Biryani,6,1107
426,2026-07-17 19:29:00,Pune,Fast Food,4,1222
427,2026-05-31 10:55:00,Pune,Indian,3,241
428,2026-01-19 10:44:00,Pune,Italian,5,590
429,2026-05-14 21:23:00,Delhi,South Indian,6,1403
430,2026-02-09 21:38:00,Hyderabad,Biryani,3,388
431,2026-06-20 15:27:00,Delhi,Indian,4,1151
432,2026-02-16 22:45:00,Pune,North Indian,6,1497
433,2026-02-13 12:51:00,Delhi,Indian,3,1242
434,2026-01-16 12:36:00,Delhi,Italian,2,651
435,2026-05-16 19:25:00,Hyderabad,Biryani,1,1163
436,2026-03-06 19:35:00,Mumbai,Italian,2,1445
437,2026-02-06 11:38:00,Kolkata,Fast Food,1,1375
438,2026-03-20 10:41:00,Bangalore,North Indian,1,326
439,2026-05-17 20:50:00,Mumbai,Italian,6,1361
440,2026-01-05 07:43:00,Bangalore,Chinese,6,897
441,2026-03-23 16:17:00,Delhi,Fast Food,5,1103
442,2026-01-04 20:31:00,Delhi,South Indian,1,938
443,2026-05-22 12:01:00,Delhi,Chinese,6,575
444,2026-03-09 21:23:00,Kolkata,Indian,1,838
445,2026-04-05 13:10:00,Hyderabad,Fast Food,2,875
446,2026-06-18 20:01:00,Kolkata,Biryani,3,654
447,2026-02-13 12:07:00,Pune,Chinese,3,250
448,2026-04-30 08:51:00,Pune,Indian,5,1238
449,2026-02-21 22:22:00,Mumbai,Indian,6,1162
450,2026-07-13 09:53:00,Kolkata,Italian,2,710
451,2026-04-28 20:44:00,Kolkata,Indian,6,1490
452,2026-06-19 21:15:00,Mumbai,Biryani,1,700
453,2026-02-25 17:04:00,Kolkata,Chinese,1,490
454,2026-01-16 16:09:00,Bangalore,Chinese,3,418
455,2026-03-30 19:40:00,Pune,Chinese,6,639
456,2026-04-15 08:50:00,Hyderabad,North Indian,1,1366
457,2026-03-13 20:43:00,Bangalore,Italian,6,1015
458,2026-03-28 19:35:00,Kolkata,Biryani,1,214
459,2026-06-29 20:26:00,Bangalore,Indian,6,1488
460,2026-01-13 17:11:00,Bangalore,Fast Food,2,1218
461,2026-01-01 01:33:00,Mumbai,Chinese,3,886
462,2026-03-14 10:33:00,Delhi,North Indian,6,721
463,2026-04-16 20:09:00,Mumbai,Desserts,2,591
464,2026-05-19 19:13:00,Hyderabad,Chinese,3,373
465,2026-04-10 19:12:00,Kolkata,Biryani,1,818
